match,kpr_Brollan,dpr_Brollan,kpr_REZ,dpr_REZ,kpr_es3tag,dpr_es3tag,kpr_Plopski,dpr_Plopski,kpr_hampus,dpr_hampus,rdiff
1,0.9259259259259259,0.5555555555555556,0.6666666666666666,0.5555555555555556,0.5925925925925926,0.6296296296296297,0.7037037037037037,0.6666666666666666,0.5185185185185185,0.6296296296296297,5
2,0.56,0.84,1.04,0.64,0.32,0.8,0.4,0.68,0.4,0.8,-7
3,0.5833333333333334,0.5833333333333334,0.75,0.5416666666666666,0.5833333333333334,0.625,0.7083333333333334,0.5416666666666666,0.625,0.5,8
4,0.5217391304347826,0.7391304347826086,0.782608695652174,0.6521739130434783,0.391304347826087,0.6956521739130435,0.4782608695652174,0.6956521739130435,0.5217391304347826,0.9130434782608695,-9
5,0.48,0.8,0.28,0.68,0.72,0.6,0.32,0.6,0.64,0.64,-7
6,0.375,0.8333333333333334,0.5833333333333334,0.6666666666666666,0.7916666666666666,0.7083333333333334,0.4166666666666667,0.75,0.5,0.9166666666666666,-8
7,0.7666666666666667,0.7666666666666667,0.43333333333333335,0.6666666666666666,0.6,0.6666666666666666,0.6333333333333333,0.6333333333333333,0.6666666666666666,0.7666666666666667,-2
8,0.9,0.9,0.65,0.95,0.55,0.9,0.25,0.85,0.25,0.85,-12
9,0.4,0.85,0.65,0.8,0.55,0.8,0.5,0.75,0.2,1.0,-12
10,0.7391304347826086,0.6956521739130435,0.6086956521739131,0.6521739130434783,0.782608695652174,0.4782608695652174,0.8260869565217391,0.5652173913043478,0.6086956521739131,0.43478260869565216,9
11,0.52,0.76,0.4,0.8,0.52,0.72,0.56,0.76,0.84,0.76,-7
12,0.6666666666666666,0.6333333333333333,0.4666666666666667,0.6333333333333333,0.6,0.6,0.6,0.6666666666666666,0.6666666666666666,0.5666666666666667,2
13,0.5555555555555556,0.7222222222222222,0.6666666666666666,0.7222222222222222,0.3333333333333333,0.5833333333333334,0.7222222222222222,0.7222222222222222,0.5555555555555556,0.6944444444444444,-2
14,0.5862068965517241,0.7586206896551724,0.4827586206896552,0.6551724137931034,0.3793103448275862,0.6896551724137931,0.896551724137931,0.6896551724137931,0.6896551724137931,0.7241379310344828,-3
15,0.68,0.68,0.76,0.8,0.56,0.64,0.48,0.68,0.56,0.88,-7
16,0.39285714285714285,0.6071428571428571,0.8571428571428571,0.6785714285714286,0.5714285714285714,0.6785714285714286,0.42857142857142855,0.5357142857142857,0.8214285714285714,0.7142857142857143,-4
17,0.6923076923076923,0.6538461538461539,0.8076923076923077,0.5,0.8076923076923077,0.38461538461538464,0.5,0.5769230769230769,0.5,0.6153846153846154,6
18,0.631578947368421,0.8947368421052632,0.2631578947368421,0.8947368421052632,0.3684210526315789,0.8947368421052632,0.47368421052631576,0.8421052631578947,0.5263157894736842,0.8421052631578947,-13
19,0.75,0.6428571428571429,0.8214285714285714,0.6071428571428571,0.5714285714285714,0.6071428571428571,0.5,0.5714285714285714,0.5357142857142857,0.6428571428571429,-4
20,0.96,0.6,0.76,0.52,0.68,0.64,0.72,0.64,0.52,0.6,7
21,0.6785714285714286,0.5357142857142857,0.7857142857142857,0.6785714285714286,0.5714285714285714,0.42857142857142855,0.35714285714285715,0.5714285714285714,0.6785714285714286,0.7142857142857143,4
22,0.7586206896551724,0.6551724137931034,0.9310344827586207,0.5862068965517241,0.4827586206896552,0.6551724137931034,0.5517241379310345,0.6551724137931034,0.8275862068965517,0.5862068965517241,3
23,0.7037037037037037,0.8148148148148148,0.4074074074074074,0.7037037037037037,0.5925925925925926,0.5555555555555556,0.5185185185185185,0.7037037037037037,0.8148148148148148,0.7037037037037037,-5
24,0.30434782608695654,0.9130434782608695,0.43478260869565216,0.7391304347826086,0.5652173913043478,0.6521739130434783,0.6956521739130435,0.782608695652174,1.0434782608695652,0.7391304347826086,-9
25,0.5263157894736842,0.8421052631578947,0.3684210526315789,0.8947368421052632,0.5789473684210527,0.7894736842105263,0.15789473684210525,0.9473684210526315,0.5263157894736842,0.8421052631578947,-13
26,0.5172413793103449,0.6896551724137931,0.4827586206896552,0.6896551724137931,0.8620689655172413,0.5172413793103449,0.6206896551724138,0.5172413793103449,0.7931034482758621,0.5862068965517241,3
27,0.4827586206896552,0.7931034482758621,0.7241379310344828,0.7586206896551724,0.6896551724137931,0.4482758620689655,0.3793103448275862,0.6896551724137931,1.0,0.6206896551724138,3
28,0.6666666666666666,0.75,0.4583333333333333,0.625,0.5,0.75,0.375,0.625,0.75,0.75,-8
29,0.9655172413793104,0.6896551724137931,0.6206896551724138,0.6206896551724138,0.5862068965517241,0.4827586206896552,0.4482758620689655,0.6551724137931034,1.0344827586206897,0.5862068965517241,3
30,0.5,0.7692307692307693,0.6153846153846154,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.6153846153846154,0.7692307692307693,0.6153846153846154,0.7307692307692307,-6
31,0.9230769230769231,0.5769230769230769,0.5769230769230769,0.6538461538461539,0.8076923076923077,0.38461538461538464,0.5384615384615384,0.4230769230769231,0.5769230769230769,0.6153846153846154,6
32,0.6666666666666666,0.6666666666666666,1.1111111111111112,0.5,0.5,0.4444444444444444,1.2222222222222223,0.4444444444444444,0.8888888888888888,0.5555555555555556,14
33,0.75,0.9,0.5,0.85,0.35,0.85,0.35,0.85,0.95,0.85,-12
34,0.8666666666666667,0.6333333333333333,0.4666666666666667,0.7,0.5333333333333333,0.5666666666666667,0.5,0.7333333333333333,0.8,0.6666666666666666,2
35,0.36363636363636365,0.8636363636363636,0.4090909090909091,0.8181818181818182,1.0,0.8636363636363636,0.5,0.8181818181818182,0.6363636363636364,0.8181818181818182,-10
36,0.7,0.7,0.6,0.5666666666666667,0.43333333333333335,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.4,0.6333333333333333,2
37,0.85,0.5,1.15,0.4,1.15,0.45,0.6,0.5,0.55,0.5,12
38,0.5882352941176471,0.9411764705882353,0.35294117647058826,1.0,0.35294117647058826,0.9411764705882353,0.47058823529411764,0.9411764705882353,0.47058823529411764,1.0,-15
39,0.8148148148148148,0.6296296296296297,0.8148148148148148,0.5925925925925926,0.5185185185185185,0.7037037037037037,0.6296296296296297,0.6666666666666666,0.5185185185185185,0.8148148148148148,-5
40,0.8611111111111112,0.5555555555555556,0.9166666666666666,0.6388888888888888,0.5555555555555556,0.75,0.8055555555555556,0.6388888888888888,0.5833333333333334,0.7777777777777778,2
41,0.75,0.6785714285714286,1.0714285714285714,0.6071428571428571,0.5357142857142857,0.6428571428571429,0.8928571428571429,0.5714285714285714,0.6071428571428571,0.7142857142857143,4
42,0.6363636363636364,0.7727272727272727,0.7272727272727273,0.7272727272727273,0.45454545454545453,0.7727272727272727,0.45454545454545453,0.7272727272727273,0.5,0.8181818181818182,-10
43,0.6086956521739131,0.43478260869565216,1.0869565217391304,0.6521739130434783,0.8260869565217391,0.43478260869565216,0.7391304347826086,0.7391304347826086,0.6086956521739131,0.5652173913043478,9
44,0.44,0.84,0.56,0.84,0.56,0.72,0.52,0.72,0.56,0.8,-7
45,0.6666666666666666,0.625,0.6666666666666666,0.625,0.625,0.4583333333333333,0.9583333333333334,0.5416666666666666,0.8333333333333334,0.6666666666666666,8
46,1.0,0.7692307692307693,0.5,0.8076923076923077,0.7692307692307693,0.8461538461538461,0.3076923076923077,0.7307692307692307,0.6538461538461539,0.8846153846153846,-6
47,0.7777777777777778,0.6944444444444444,0.5277777777777778,0.75,0.6111111111111112,0.6944444444444444,0.4444444444444444,0.6666666666666666,0.4444444444444444,0.75,-2
48,0.5925925925925926,0.6666666666666666,1.2222222222222223,0.4444444444444444,0.48148148148148145,0.5185185185185185,0.9259259259259259,0.4444444444444444,0.6296296296296297,0.5925925925925926,5
